teamID,yearID,H
NYN,2011,1477
NYN,2012,1357
NYN,2013,1318
NYN,2014,1306
NYN,2015,1351
NYN,2016,1342
OAK,2002,1450
OAK,2003,1398
OAK,2004,1545
OAK,2005,1476
OAK,2006,1429
OAK,2007,1430
OAK,2008,1318
OAK,2009,1464
OAK,2010,1396
OAK,2011,1330
OAK,2012,1315
OAK,2013,1403
OAK,2014,1354
OAK,2015,1405
OAK,2016,1352
PHI,2002,1428
PHI,2003,1448
PHI,2004,1505
PHI,2005,1494
PHI,2006,1518
PHI,2007,1558
PHI,2008,1407
PHI,2009,1439
PHI,2010,1451
PHI,2011,1409
PHI,2012,1414
PHI,2013,1355
PHI,2014,1356
PHI,2015,1374
PHI,2016,1305
PIT,2002,1300
PIT,2003,1492
PIT,2004,1428
PIT,2005,1445
PIT,2006,1462
PIT,2007,1463
PIT,2008,1454
PIT,2009,1364
PIT,2010,1303
PIT,2011,1325
PIT,2012,1313
PIT,2013,1346
PIT,2014,1436
PIT,2015,1462
PIT,2016,1426
SDN,2002,1393
SDN,2003,1442
SDN,2004,1521
SDN,2005,1416
SDN,2006,1465
SDN,2007,1408
SDN,2008,1390
SDN,2009,1315
SDN,2010,1338
SDN,2011,1284
SDN,2012,1339
SDN,2013,1349
SDN,2014,1199
SDN,2015,1324
SDN,2016,1275
SEA,2002,1531
SEA,2003,1509
SEA,2004,1544
SEA,2005,1408
SEA,2006,1540
SEA,2007,1629
SEA,2008,1498
SEA,2009,1430
SEA,2010,1274
SEA,2011,1263
SEA,2012,1285
SEA,2013,1318
SEA,2014,1328
SEA,2015,1379
SEA,2016,1446
SFN,2002,1465
SFN,2003,1440
SFN,2004,1500
SFN,2005,1427
SFN,2006,1418
SFN,2007,1407
SFN,2008,1452
SFN,2009,1411
SFN,2010,1411
SFN,2011,1327
SFN,2012,1495
SFN,2013,1446
SFN,2014,1407
SFN,2015,1486
SFN,2016,1437
SLN,2002,1475
SLN,2003,1580
SLN,2004,1544
SLN,2005,1494
SLN,2006,1484
SLN,2007,1513
SLN,2008,1585
SLN,2009,1436
SLN,2010,1456
SLN,2011,1513
SLN,2012,1526
SLN,2013,1494
SLN,2014,1371
SLN,2015,1386
SLN,2016,1415
TBA,2002,1418
TBA,2003,1501
TBA,2004,1416
TBA,2005,1519
TBA,2006,1395
TBA,2007,1500
TBA,2008,1443
TBA,2009,1434
TBA,2010,1343
TBA,2011,1324
TBA,2012,1293
TBA,2013,1421
TBA,2014,1361
TBA,2015,1383
TBA,2016,1333
TEX,2002,1510
TEX,2003,1506
TEX,2004,1492
TEX,2005,1528
TEX,2006,1571
TEX,2007,1460
TEX,2008,1619
TEX,2009,1436
TEX,2010,1556
TEX,2011,1599
TEX,2012,1526
TEX,2013,1465
