YearID,TeamID,Salary,Adjusted Salary,Wins,ERA,Strikeouts
1989,ATL,11112334,21808817,63,3.7621739130434784,966
1989,BAL,8275167,16240657,87,4.685882352941176,676
1989,BOS,17481748,34309287,83,4.547333333333333,1054
1989,CAL,15097833,29630668,91,3.477333333333333,897
1989,CHA,7265410,14258930,69,5.425263157894737,778
1989,CHN,10668000,20936777,93,3.4753333333333334,918
1989,CIN,11072000,21729659,75,4.456470588235295,981
1989,CLE,9094500,17848661,73,4.735,844
1989,DET,15146404,29725993,59,5.217727272727273,831
1989,HOU,15029500,29496560,86,6.946470588235294,965
1989,KCA,18683568,36667952,92,5.475294117647059,978
1989,LAN,21071562,41354575,77,4.797777777777778,1052
1989,MIN,15531666,30482099,80,4.716086956521739,851
1989,ML4,11533000,22634407,81,4.464,812
1989,MON,13807389,27098072,81,5.3915,1059
1989,NYA,17114375,33588288,74,5.987272727272727,787
1989,NYN,19885071,39025994,87,3.4189999999999996,1108
1989,OAK,15613070,30641861,99,4.5775,930
1989,PHI,10604000,20811172,67,4.271818181818182,899
1989,PIT,12737500,24998332,74,4.722727272727273,827
1989,SDN,14195000,27858789,89,4.3629411764705885,933
1989,SEA,9779500,19193027,73,4.457368421052632,897
1989,SFN,14962834,29365722,92,3.8219047619047624,802
1989,SLN,16078833,31555957,86,4.075333333333333,844
1989,TEX,11893781,23342468,83,5.781764705882353,1112
1989,TOR,16261666,31914781,89,4.38,849
1990,ATL,14555501,27336172,65,6.314347826086956,938
1990,BAL,9680084,18179823,76,4.62,776
1990,BOS,20558333,38609879,88,4.7965,997
1990,CAL,21720000,40791565,80,3.7895000000000003,944
1990,CHA,9491500,17825650,94,3.834117647058824,914
1990,CHN,13624000,25586753,77,5.0280000000000005,877
1990,CIN,14370000,26987789,91,4.233529411764706,1029
1990,CLE,14487000,27207523,77,4.7890476190476186,860
1990,DET,17593238,33041239,79,5.3175,856
1990,HOU,18330000,34424925,75,4.89764705882353,854
1990,KCA,23361084,43873626,75,6.027826086956522,1006
1990,LAN,21318704,40037905,86,4.41,1021
1990,MIN,14602000,27423500,74,4.507777777777778,872
1990,ML4,19719167,37033871,74,10.364090909090908,771
1990,MON,16586388,31150309,85,5.319166666666667,991
1990,NYA,20912318,39274685,67,4.216,909
1990,NYN,21722834,40796887,91,3.2306666666666666,1217
1990,OAK,19887501,37350013,103,2.932666666666667,831
1990,PHI,13173667,24740998,77,5.9665,840
1990,PIT,15556000,29215174,95,3.531304347826087,848
1990,SDN,17588334,33032028,75,4.51375,928
1990,SEA,12553667,23576598,77,5.132272727272727,1064
1990,SFN,19335333,36313006,85,5.7192307692307685,788
1990,SLN,20523334,38544148,70,4.252727272727273,833
1990,TEX,14874372,27935032,83,5.049444444444444,997
1990,TOR,17756834,33348482,86,4.178421052631579,892
1991,ATL,18403500,32917108,94,3.968,969
1991,BAL,17519000,31335062,67,5.3325000000000005,868
1991,BOS,35167500,62901752,84,5.37421052631579,999
1991,CAL,33060001,59132209,81,4.7435294117647056,990
1991,CHA,16919667,30263075,87,4.3082352941176465,923
1991,CHN,23175667,41452763,77,5.873157894736842,927
1991,CIN,26305333,47050587,74,3.9635294117647057,997
1991,CLE,17635000,31542543,57,6.371666666666666,862
