index,yearID,teamID,W,L
2145,1993,PHI,97,65
2146,1993,PIT,75,87
2147,1993,SDN,61,101
2148,1993,SEA,82,80
2149,1993,SFN,103,59
2150,1993,SLN,87,75
2151,1993,TEX,86,76
2152,1993,TOR,95,67
2153,1994,ATL,68,46
2154,1994,BAL,63,49
2155,1994,BOS,54,61
2156,1994,CAL,47,68
2157,1994,CHA,67,46
2158,1994,CHN,49,64
2159,1994,CIN,66,48
2160,1994,CLE,66,47
2161,1994,COL,53,64
2162,1994,DET,53,62
2163,1994,FLO,51,64
2164,1994,HOU,66,49
2165,1994,KCA,64,51
2166,1994,LAN,58,56
2167,1994,MIN,53,60
2168,1994,ML4,53,62
2169,1994,MON,74,40
2170,1994,NYA,70,43
2171,1994,NYN,55,58
2172,1994,OAK,51,63
2173,1994,PHI,54,61
2174,1994,PIT,53,61
2175,1994,SDN,47,70
2176,1994,SEA,49,63
2177,1994,SFN,55,60
2178,1994,SLN,53,61
2179,1994,TEX,52,62
2180,1994,TOR,55,60
2181,1995,ATL,90,54
2182,1995,BAL,71,73
2183,1995,BOS,86,58
2184,1995,CAL,78,67
2185,1995,CHA,68,76
2186,1995,CHN,73,71
2187,1995,CIN,85,59
2188,1995,CLE,100,44
2189,1995,COL,77,67
2190,1995,DET,60,84
2191,1995,FLO,67,76
2192,1995,HOU,76,68
2193,1995,KCA,70,74
2194,1995,LAN,78,66
2195,1995,MIN,56,88
2196,1995,ML4,65,79
2197,1995,MON,66,78
2198,1995,NYA,79,65
2199,1995,NYN,69,75
2200,1995,OAK,67,77
2201,1995,PHI,69,75
2202,1995,PIT,58,86
2203,1995,SDN,70,74
2204,1995,SEA,79,66
2205,1995,SFN,67,77
2206,1995,SLN,62,81
2207,1995,TEX,74,70
2208,1995,TOR,56,88
2209,1996,ATL,96,66
2210,1996,BAL,88,74
2211,1996,BOS,85,77
2212,1996,CAL,70,91
2213,1996,CHA,85,77
2214,1996,CHN,76,86
2215,1996,CIN,81,81
2216,1996,CLE,99,62
2217,1996,COL,83,79
2218,1996,DET,53,109
2219,1996,FLO,80,82
2220,1996,HOU,82,80
2221,1996,KCA,75,86
2222,1996,LAN,90,72
2223,1996,MIN,78,84
2224,1996,ML4,80,82
2225,1996,MON,88,74
2226,1996,NYA,92,70
2227,1996,NYN,71,91
2228,1996,OAK,78,84
2229,1996,PHI,67,95
2230,1996,PIT,73,89
2231,1996,SDN,91,71
2232,1996,SEA,85,76
2233,1996,SFN,68,94
2234,1996,SLN,88,74
2235,1996,TEX,90,72
2236,1996,TOR,74,88
2237,1997,ANA,84,78
2238,1997,ATL,101,61
2239,1997,BAL,98,64
2240,1997,BOS,78,84
2241,1997,CHA,80,81
2242,1997,CHN,68,94
2243,1997,CIN,76,86
2244,1997,CLE,86,75
2245,1997,COL,83,79
2246,1997,DET,79,83
2247,1997,FLO,92,70
2248,1997,HOU,84,78
2249,1997,KCA,67,94
2250,1997,LAN,88,74
2251,1997,MIN,68,94
2252,1997,ML4,78,83
2253,1997,MON,78,84
2254,1997,NYA,96,66
2255,1997,NYN,88,74
2256,1997,OAK,65,97
2257,1997,PHI,68,94
2258,1997,PIT,79,83
2259,1997,SDN,76,86
2260,1997,SEA,90,72
2261,1997,SFN,90,72
2262,1997,SLN,73,89
2263,1997,TEX,77,85
2264,1997,TOR,76,86
2265,1998,ANA,85,77
2266,1998,ARI,65,97
2267,1998,ATL,106,56
2268,1998,BAL,79,83
2269,1998,BOS,92,70
2270,1998,CHA,80,82
