yearID,teamID,salary,adjusted_salary
1993,CHN,39386666,64761399
1993,CIN,44879666,73793246
1993,CLE,18561000,30518864
1993,COL,10353500,17023709
1993,DET,38150165,62728286
1993,FLO,19330545,31784186
1993,HOU,30210500,49673517
1993,KCA,41346167,67983302
1993,LAN,39331999,64671513
1993,MIN,28217933,46397245
1993,ML4,23806834,39144310
1993,MON,18899333,31075167
1993,NYA,42624900,70085855
1993,NYN,39043667,64197424
1993,OAK,37812333,62172807
1993,PHI,28538334,46924064
1993,PIT,24822467,40814261
1993,SDN,25511333,41946927
1993,SEA,32696333,53760840
1993,SFN,35050000,57630850
1993,SLN,23367334,38421663
1993,TEX,36376959,59812698
1993,TOR,47279166,77738617
1994,ATL,49383513,78604726
1994,BAL,38849769,61837955
1994,BOS,37859084,60261062
1994,CAL,25156218,40041656
1994,CHA,39183836,62369696
1994,CHN,36287333,57759274
1994,CIN,40961833,65199770
1994,CLE,30490500,48532339
1994,COL,23887333,38021946
1994,DET,41446501,65971225
1994,FLO,21633000,34433679
1994,HOU,33126000,52727317
1994,KCA,40541334,64530453
1994,LAN,38000001,60485362
1994,MIN,28438500,45266130
1994,ML4,24350500,38759178
1994,MON,19098000,30398669
1994,NYA,45731334,72791480
1994,NYN,30956583,49274213
1994,OAK,34172500,54393052
1994,PHI,31599000,50296761
1994,PIT,24217250,38547081
1994,SDN,14916333,23742626
1994,SEA,29228500,46523588
1994,SFN,42638666,67868818
1994,SLN,29275601,46598560
1994,TEX,32973597,52484734
1994,TOR,43433668,69134239
1995,ATL,47235445,73137747
1995,BAL,43942521,68039096
1995,BOS,32455518,50253013
1995,CAL,31223171,48344889
1995,CHA,46961282,72713242
1995,CHN,29505834,45685823
1995,CIN,43144670,66803731
1995,CLE,37937835,58741645
1995,COL,34154717,52883995
1995,DET,37044168,57357922
1995,FLO,24515781,37959396
1995,HOU,34169834,52907401
1995,KCA,29532834,45727629
1995,LAN,39273201,60809280
1995,MIN,25410500,39344748
1995,ML4,17798825,27559091
1995,MON,12364000,19143994
1995,NYA,48874851,75676147
1995,NYN,27674992,42851010
1995,OAK,37739225,58434124
1995,PHI,30555945,47311779
1995,PIT,18355345,28420788
1995,SDN,26382334,40849503
1995,SEA,36481311,56486413
1995,SFN,36462777,56457716
1995,SLN,37101000,57445919
1995,TEX,34581451,53544735
1995,TOR,50590000,78331825
1996,ATL,49698500,74710152
1996,BAL,54490315,81913533
1996,BOS,42393500,63728781
1996,CAL,28738000,43200908
1996,CHA,45139500,67856754
1996,CHN,33081000,49729600
1996,CIN,42526334,63928466
1996,CLE,48107360,72318243
1996,COL,40179823,60401032
1996,DET,23438000,35233589
1996,FLO,31022500,46635123
1996,HOU,28487000,42823588
1996,KCA,20281250,30488149
1996,LAN,35355000,53148031
1996,MIN,23117000,34751040
1996,ML4,21730000,32666008
1996,MON,16264500,24449898
1996,NYA,54191792,81464773
1996,NYN,24479500,36799243
1996,OAK,21243000,31933916
1996,PHI,34314500,51583881
1996,PIT,23017500,34601465
1996,SDN,28348172,42614892
1996,SEA,41328501,62127802
1996,SFN,37144725,55838467
1996,SLN,40269667,60536091
1996,TEX,39041528,58689870
1996,TOR,29555083,44429203
1997,ANA,31135472,45574441
1997,ATL,52278500,76522476
1997,BAL,58516400,85653181
1997,BOS,43558750,63758972
1997,CHA,57740000,84516728
1997,CHN,42155333,61704725
1997,CIN,49768000,72847740
1997,CLE,56802460,83144407
1997,COL,43559667,63760314
1997,DET,17272000,25281831
1997,FLO,48692500,71273481
1997,HOU,34777500,50905447
1997,KCA,34655000,50726138
1997,LAN,45380304,66425265
1997,MIN,34072500,49873505
1997,ML4,23655338,34625420
1997,MON,19295500,28243722
1997,NYA,62241545,91105849
1997,NYN,39800400,58257700
1997,OAK,24018500,35156997
1997,PHI,36656500,53655827
1997,PIT,10771667,15766990
1997,SDN,37363672,54690947
1997,SEA,41540661,60805001
1997,SFN,35592378,52098222
1997,SLN,45456667,66537041
1997,TEX,53448838,78235554
1997,TOR,47079833,68912945
1998,ANA,41281000,59008714
1998,ARI,32347000,46238096
