yearID,teamID,lgID,salary,adjusted_salary
1991,SEA,AL,15691833,28066930
1991,SFN,NL,30967666,55389790
1991,SLN,NL,21860001,39099519
1991,TEX,AL,18224500,32596942
1991,TOR,AL,19902417,35598120
1992,ATL,NL,34625333,59039098
1992,BAL,AL,23780667,40548032
1992,BOS,AL,43610584,74359705
1992,CAL,AL,34749334,59250530
1992,CHA,AL,30160833,51426751
1992,CHN,NL,29829686,50862118
1992,CIN,NL,35931499,61266221
1992,CLE,AL,9373044,15981826
1992,DET,AL,27322834,46587724
1992,HOU,NL,15407500,26271080
1992,KCA,AL,33893834,57791831
1992,LAN,NL,44788166,76367581
1992,MIN,AL,28027834,47789809
1992,ML4,AL,31013667,52880905
1992,MON,NL,15822334,26978407
1992,NYA,AL,37543334,64014535
1992,NYN,NL,44602002,76050156
1992,OAK,AL,41035000,69968118
1992,PHI,NL,24383834,41576483
1992,PIT,NL,33944167,57877653
1992,SDN,NL,26854167,45788608
1992,SEA,AL,23179833,39523560
1992,SFN,NL,33163168,56545984
1992,SLN,NL,27583836,47032755
1992,TEX,AL,30128167,51371053
1992,TOR,AL,44788666,76368434
1993,ATL,NL,41641417,68468766
1993,BAL,AL,29096500,47841826
1993,BOS,AL,37120583,61035399
1993,CAL,AL,28588334,47006276
1993,CHA,AL,39696166,65270293
1993,CHN,NL,39386666,64761399
1993,CIN,NL,44879666,73793246
1993,CLE,AL,18561000,30518864
1993,COL,NL,10353500,17023709
1993,DET,AL,38150165,62728286
1993,FLO,NL,19330545,31784186
1993,HOU,NL,30210500,49673517
1993,KCA,AL,41346167,67983302
1993,LAN,NL,39331999,64671513
1993,MIN,AL,28217933,46397245
1993,ML4,AL,23806834,39144310
1993,MON,NL,18899333,31075167
1993,NYA,AL,42624900,70085855
1993,NYN,NL,39043667,64197424
1993,OAK,AL,37812333,62172807
1993,PHI,NL,28538334,46924064
1993,PIT,NL,24822467,40814261
1993,SDN,NL,25511333,41946927
1993,SEA,AL,32696333,53760840
1993,SFN,NL,35050000,57630850
1993,SLN,NL,23367334,38421663
1993,TEX,AL,36376959,59812698
1993,TOR,AL,47279166,77738617
1994,ATL,NL,49383513,78604726
1994,BAL,AL,38849769,61837955
1994,BOS,AL,37859084,60261062
1994,CAL,AL,25156218,40041656
1994,CHA,AL,39183836,62369696
1994,CHN,NL,36287333,57759274
1994,CIN,NL,40961833,65199770
1994,CLE,AL,30490500,48532339
1994,COL,NL,23887333,38021946
1994,DET,AL,41446501,65971225
1994,FLO,NL,21633000,34433679
1994,HOU,NL,33126000,52727317
1994,KCA,AL,40541334,64530453
1994,LAN,NL,38000001,60485362
1994,MIN,AL,28438500,45266130
1994,ML4,AL,24350500,38759178
1994,MON,NL,19098000,30398669
1994,NYA,AL,45731334,72791480
1994,NYN,NL,30956583,49274213
1994,OAK,AL,34172500,54393052
1994,PHI,NL,31599000,50296761
1994,PIT,NL,24217250,38547081
1994,SDN,NL,14916333,23742626
1994,SEA,AL,29228500,46523588
1994,SFN,NL,42638666,67868818
1994,SLN,NL,29275601,46598560
1994,TEX,AL,32973597,52484734
1994,TOR,AL,43433668,69134239
1995,ATL,NL,47235445,73137747
1995,BAL,AL,43942521,68039096
1995,BOS,AL,32455518,50253013
1995,CAL,AL,31223171,48344889
1995,CHA,AL,46961282,72713242
1995,CHN,NL,29505834,45685823
1995,CIN,NL,43144670,66803731
1995,CLE,AL,37937835,58741645
1995,COL,NL,34154717,52883995
1995,DET,AL,37044168,57357922
1995,FLO,NL,24515781,37959396
1995,HOU,NL,34169834,52907401
1995,KCA,AL,29532834,45727629
1995,LAN,NL,39273201,60809280
1995,MIN,AL,25410500,39344748
1995,ML4,AL,17798825,27559091
1995,MON,NL,12364000,19143994
1995,NYA,AL,48874851,75676147
1995,NYN,NL,27674992,42851010
1995,OAK,AL,37739225,58434124
1995,PHI,NL,30555945,47311779
1995,PIT,NL,18355345,28420788
1995,SDN,NL,26382334,40849503
1995,SEA,AL,36481311,56486413
1995,SFN,NL,36462777,56457716
1995,SLN,NL,37101000,57445919
1995,TEX,AL,34581451,53544735
1995,TOR,AL,50590000,78331825
1996,ATL,NL,49698500,74710152
1996,BAL,AL,54490315,81913533
1996,BOS,AL,42393500,63728781
1996,CAL,AL,28738000,43200908
1996,CHA,AL,45139500,67856754
1996,CHN,NL,33081000,49729600
1996,CIN,NL,42526334,63928466
1996,CLE,AL,48107360,72318243
1996,COL,NL,40179823,60401032
1996,DET,AL,23438000,35233589
1996,FLO,NL,31022500,46635123
1996,HOU,NL,28487000,42823588
1996,KCA,AL,20281250,30488149
1996,LAN,NL,35355000,53148031
1996,MIN,AL,23117000,34751040
1996,ML4,AL,21730000,32666008
1996,MON,NL,16264500,24449898
1996,NYA,AL,54191792,81464773
1996,NYN,NL,24479500,36799243
1996,OAK,AL,21243000,31933916
1996,PHI,NL,34314500,51583881
1996,PIT,NL,23017500,34601465
1996,SDN,NL,28348172,42614892
1996,SEA,AL,41328501,62127802
1996,SFN,NL,37144725,55838467
1996,SLN,NL,40269667,60536091
1996,TEX,AL,39041528,58689870
1996,TOR,AL,29555083,44429203
1997,ANA,AL,31135472,45574441
1997,ATL,NL,52278500,76522476
1997,BAL,AL,58516400,85653181
1997,BOS,AL,43558750,63758972
1997,CHA,AL,57740000,84516728
1997,CHN,NL,42155333,61704725
1997,CIN,NL,49768000,72847740
1997,CLE,AL,56802460,83144407
1997,COL,NL,43559667,63760314
1997,DET,AL,17272000,25281831
1997,FLO,NL,48692500,71273481
1997,HOU,NL,34777500,50905447
1997,KCA,AL,34655000,50726138
1997,LAN,NL,45380304,66425265
1997,MIN,AL,34072500,49873505
1997,ML4,AL,23655338,34625420
1997,MON,NL,19295500,28243722
1997,NYA,AL,62241545,91105849
1997,NYN,NL,39800400,58257700
1997,OAK,AL,24018500,35156997
1997,PHI,NL,36656500,53655827
1997,PIT,NL,10771667,15766990
1997,SDN,NL,37363672,54690947
1997,SEA,AL,41540661,60805001
1997,SFN,NL,35592378,52098222
1997,SLN,NL,45456667,66537041
1997,TEX,AL,53448838,78235554
1997,TOR,AL,47079833,68912945
1998,ANA,AL,41281000,59008714
1998,ARI,NL,32347000,46238096
1998,ATL,NL,61186000,87461718
1998,BAL,AL,72355634,103428040
1998,BOS,AL,56757000,81130728
1998,CHA,AL,38335000,54797583
1998,CHN,NL,50838000,72669872
1998,CIN,NL,23005000,32884268
1998,CLE,AL,60800166,86910191
1998,COL,NL,50484648,72164777
1998,DET,AL,24065000,34399474
1998,FLO,NL,41322667,59068274
1998,HOU,NL,42374000,60571092
1998,KCA,AL,36862500,52692733
1998,LAN,NL,48820000,69785262
1998,MIL,NL,33914904,48479321
1998,MIN,AL,27927500,39920686
1998,MON,NL,10641500,15211386
1998,NYA,AL,66806867,95496410
1998,NYN,NL,52077999,74442376
1998,OAK,AL,21303000,30451361
1998,PHI,NL,36297500,51885099
1998,PIT,NL,15065000,21534514
1998,SDN,NL,46861500,66985704
1998,SEA,AL,54087036,77314174
1998,SFN,NL,42565834,60845307
1998,SLN,NL,54672521,78151090
1998,TBA,AL,27280000,38995124
1998,TEX,AL,56572095,80866417
1998,TOR,AL,51376000,73438911
1999,ANA,AL,55388166,77394000
1999,ARI,NL,68703999,96000241
1999,ATL,NL,73140000,102198674
1999,BAL,AL,80605863,112630740
1999,BOS,AL,63497500,88725189
1999,CHA,AL,25620000,35798879
1999,CHN,NL,62343000,87112004
1999,CIN,NL,33962761,47456236
1999,CLE,AL,72978462,101972957
1999,COL,NL,61935837,86543074
1999,DET,AL,36489666,50987086
1999,FLO,NL,21085000,29462114
1999,HOU,NL,54914000,76731446
1999,KCA,AL,26225000,36644247
1999,LAN,NL,80862453,112989274
1999,MIL,NL,43377395,60611324
1999,MIN,AL,21257500,29703149
1999,MON,NL,17903000,25015899
1999,NYA,AL,86734359,121194101
1999,NYN,NL,65092092,90953316
1999,OAK,AL,24431833,34138651
1999,PHI,NL,31692500,44283996
1999,PIT,NL,24697666,34510100
1999,SDN,NL,49768179,69541180
1999,SEA,AL,54125003,75628979
1999,SFN,NL,46595057,65107370
1999,SLN,NL,49778195,69555175
1999,TBA,AL,38870000,54313132
1999,TEX,AL,76709931,107186946
1999,TOR,AL,45444333,63499461
2000,ANA,AL,51464167,70431917
2000,ARI,NL,81027833,110891635
2000,ATL,NL,84537836,115695293
2000,BAL,AL,81447435,111465887
2000,BOS,AL,77940333,106666199
2000,CHA,AL,31133500,42608133
2000,CHN,NL,60539333,82851847
2000,CIN,NL,46867200,64140682
2000,CLE,AL,75880771,103847561
2000,COL,NL,61111190,83634469
2000,DET,AL,58265167,79739509
2000,FLO,NL,19872000,27196069
2000,HOU,NL,51289111,70192342
2000,KCA,AL,23433000,32069519
2000,LAN,NL,87924286,120329861
2000,MIL,NL,36505333,49959821
2000,MIN,AL,16519500,22607964
2000,MON,NL,32994333,45154799
2000,NYA,AL,92338260,126370659
2000,NYN,NL,79509776,108814080
2000,OAK,AL,31971333,43754760
2000,PHI,NL,47308000,64743944
2000,PIT,NL,28928334,39590226
2000,SDN,NL,54821000,75025952
2000,SEA,AL,58915000,80628846
2000,SFN,NL,53737826,73543561
2000,SLN,NL,61453863,84103438
2000,TBA,AL,62765129,85897988
2000,TEX,AL,70795921,96888627
2000,TOR,AL,44838332,61364049
2001,ANA,AL,47535167,63530113
2001,ARI,NL,85082999,113712288
2001,ATL,NL,91936166,122871454
2001,BAL,AL,67599540,90345879
2001,BOS,AL,110035833,147061416
2001,CHA,AL,65653667,87745246
